mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
506560,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
593969,0,0,0,0,0,0,0,2.1,1,0,0,0,0,0,3,0,0,0
608167,0,0,0,0,0,0,1,0.2,1,0,0,0,1,0,0,0,0,0
542194,0,0,0,0,0,0,0,1.2,1,0,0,0,3,0,1,1,0,0
460077,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0,1,0,0,0
500871,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
572309,0,0,0,0,0,0,0,3.0,1,0,0,0,3,0,1,0,0,0
516910,0,0,0,0,0,0,0,4.0,2,0,0,0,1,0,3,0,0,0
572365,0,0,0,0,0,0,0,1.0,2,0,0,0,1,1,0,0,0,0
594840,0,0,0,0,0,0,0,3.0,1,0,0,0,0,0,4,0,0,0
592407,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
534627,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
534606,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0
502285,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0
517629,0,0,0,0,0,0,0,3.1,5,5,0,2,2,0,1,0,0,0
600301,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0
150274,2,0,0,0,0,1,0,6.1,5,0,0,0,4,0,9,0,0,1
572033,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0
461865,0,0,0,0,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0
596143,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
582494,1,0,0,0,0,0,1,6.0,6,0,0,0,2,0,5,0,0,1
519267,0,0,0,0,0,0,3,14.0,5,0,0,0,2,1,15,1,0,0
605476,0,0,0,0,0,0,0,2.2,2,1,0,0,1,0,2,0,0,0
600526,0,0,0,0,0,0,1,3.0,3,0,0,0,2,0,3,0,0,1
543900,0,0,0,0,0,0,0,1.0,2,0,0,0,1,0,3,0,0,0
595465,0,0,0,0,0,0,0,2.1,0,0,0,0,1,0,4,0,0,0
643354,0,0,0,0,0,0,4,18.1,12,1,1,1,6,1,12,0,0,0
502154,2,1,0,0,47,0,0,67.0,38,7,4,1,18,3,74,0,0,10
656186,0,0,0,0,0,1,1,12.1,11,1,1,0,1,0,10,1,0,1
502051,0,0,0,0,0,0,0,9.2,2,1,1,1,4,0,13,0,0,2
476123,0,0,0,0,0,0,0,9.0,7,1,1,1,9,0,6,0,0,0
621389,1,0,0,0,0,0,0,17.0,8,2,2,1,5,0,10,0,1,0
592135,2,0,0,0,1,1,7,40.1,30,7,5,1,14,1,51,2,0,3
642239,1,0,0,0,0,0,0,16.0,12,3,2,0,5,0,17,1,0,0
621381,2,2,0,0,0,0,6,22.0,13,4,3,0,11,1,30,1,0,1
543195,0,2,0,0,0,0,1,13.1,9,3,2,1,8,0,11,0,0,0
623406,0,0,0,0,0,0,0,6.2,6,1,1,0,0,0,3,0,0,0
453192,10,1,0,0,12,2,25,74.1,42,13,12,8,9,0,123,2,0,1
594772,1,0,0,0,0,0,0,6.0,3,1,1,1,1,0,4,0,0,0
641627,0,0,0,0,0,0,1,6.0,6,1,1,0,3,1,6,1,0,0
519096,5,1,0,0,1,1,3,70.2,54,14,12,2,10,1,57,0,0,2
547973,4,1,0,0,36,3,0,58.0,32,12,10,2,18,0,90,0,1,8
