mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
593643,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
642727,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
680430,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
624414,0,0,0,0,0,0,0,0,1.0,1,2,0,1,1,0,0,0,0,0
641329,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,2
660825,0,0,0,0,0,0,0,0,3.0,1,0,0,0,2,0,3,0,0,0
607352,0,1,0,0,0,0,0,0,3.0,2,0,0,0,1,0,2,1,0,0
641384,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
592165,0,0,0,0,0,0,0,0,3.0,3,0,0,0,2,0,1,0,0,0
452678,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0
572761,0,0,0,0,0,0,0,0,1.1,2,0,0,0,0,0,0,1,0,0
605612,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,0,0,0,0,0
665645,0,1,1,0,0,0,0,0,13.1,13,1,0,0,4,1,13,0,0,0
672710,1,0,0,0,0,0,0,0,3.0,3,0,0,0,1,0,4,0,0,0
630105,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0
518586,0,0,0,0,0,0,0,0,2.0,2,0,0,0,0,0,0,0,0,0
675971,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0
622554,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
622110,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
594809,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0
595943,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
502273,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0
