mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
405395,22,0,0,0,0,68,0,0,0,0,1,0
408234,0,0,0,0,0,109,0,0,0,0,0,0
424144,0,0,0,0,0,0,0,0,0,0,7,0
425794,0,0,0,0,0,0,0,0,0,0,0,32
425844,0,0,0,0,0,0,0,0,0,0,0,26
425877,1,0,0,77,0,1,0,0,0,0,2,0
429664,0,20,0,0,0,8,0,0,0,0,0,0
434378,0,0,0,0,0,0,0,0,0,0,0,28
434671,0,0,0,0,0,0,0,0,0,0,0,14
435559,1,0,0,44,0,2,0,0,0,0,0,0
443558,0,0,0,0,0,123,0,0,0,0,0,0
444482,0,0,0,0,0,11,113,0,0,113,0,0
444489,0,0,0,5,0,0,0,0,0,0,0,0
444876,0,2,0,0,0,0,0,0,37,0,2,0
445276,0,0,0,0,0,0,0,0,0,0,65,0
445926,0,0,0,0,0,0,0,0,0,0,59,1
446321,0,0,0,0,0,0,0,0,0,0,30,0
446334,0,0,68,0,0,17,0,0,0,0,0,0
446372,0,0,0,0,0,0,0,0,0,0,0,31
448179,0,0,0,0,0,0,0,0,0,0,0,26
448281,0,0,0,0,0,0,0,0,0,0,6,0
450203,0,0,0,0,0,0,0,0,0,0,0,31
453178,0,0,0,0,0,0,0,0,0,0,57,0
453268,0,0,0,0,0,0,0,0,0,0,57,0
453286,0,0,0,0,0,0,0,0,0,0,0,23
453343,0,0,0,0,0,0,0,0,0,0,62,0
453568,0,0,0,0,0,80,0,51,0,51,0,0
455117,0,0,0,113,0,0,0,0,0,0,0,0
455119,0,0,0,0,0,0,0,0,0,0,60,0
455139,0,0,0,66,0,0,0,0,0,0,0,0
456034,0,0,0,0,0,0,0,0,0,0,40,0
456501,0,0,0,0,0,0,0,0,0,0,1,24
456713,0,0,0,0,0,0,0,0,0,0,59,6
456715,0,0,0,0,42,0,0,0,0,42,0,0
456781,26,7,16,0,0,26,0,0,0,0,0,0
457705,0,0,0,0,3,82,31,19,0,53,0,0
457708,0,0,0,0,0,11,2,4,0,6,0,0
457759,0,0,66,0,0,61,0,0,0,0,0,0
458015,76,0,0,0,0,14,0,0,0,0,0,0
458677,0,0,0,0,0,0,0,0,0,0,5,0
458681,0,0,0,0,0,0,0,0,0,0,0,21
459429,0,0,0,0,0,0,0,0,0,0,42,0
461325,0,0,0,0,0,0,0,0,0,0,4,0
462101,0,0,0,0,0,4,0,0,143,0,0,0
467793,76,0,0,0,0,50,0,1,0,1,0,0
468504,0,0,0,0,0,0,0,0,0,0,35,0
471911,0,0,0,0,0,0,0,0,0,0,0,29
472610,0,0,0,0,0,0,0,0,0,0,64,0
474832,63,0,0,0,0,11,0,0,0,0,0,0
475479,0,0,0,0,0,0,0,0,0,0,64,1
476595,0,0,0,0,0,0,0,0,0,0,50,0
476704,3,2,0,0,0,39,0,0,0,0,0,0
477132,0,0,0,0,0,0,0,0,0,0,0,22
488726,0,0,0,0,0,35,29,0,0,29,0,0
488771,0,0,0,30,0,0,0,0,0,0,0,0
488984,0,0,0,0,0,0,0,0,0,0,18,0
489119,0,0,0,0,0,0,0,0,0,0,1,8
489265,0,0,0,0,0,0,0,0,0,0,23,0
489334,0,0,0,0,0,0,0,0,0,0,32,1
489446,0,0,0,0,0,0,0,0,0,0,9,0
491624,0,0,0,0,0,0,0,0,0,0,1,0
493329,142,0,0,0,0,3,0,0,0,0,0,0
493603,0,0,0,0,0,0,0,0,0,0,66,0
500743,10,0,0,0,0,0,0,0,136,0,0,0
500779,0,0,0,0,0,0,0,0,0,0,0,32
500871,0,2,130,0,0,6,0,0,0,0,0,0
501303,0,8,19,0,0,1,9,0,3,9,1,0
501381,0,0,0,0,0,0,0,0,0,0,0,11
501571,0,0,0,0,8,0,5,9,0,22,0,0
501625,0,0,0,0,0,0,0,0,0,0,21,0
501659,0,0,0,0,5,2,3,1,0,9,0,0
501925,0,0,0,0,0,0,0,0,0,0,34,0
501985,0,0,0,0,0,0,0,0,0,0,0,19
502042,0,0,0,0,0,0,0,0,0,0,0,25
502043,0,0,0,0,0,0,0,0,0,0,0,31
502054,0,0,0,0,0,10,134,0,0,134,0,0
502085,0,0,0,0,0,0,0,0,0,0,58,0
502110,0,0,0,0,0,139,0,0,0,0,0,0
502154,0,0,0,0,0,0,0,0,0,0,3,0
502171,0,0,0,0,0,0,0,0,0,0,0,28
502179,0,0,0,0,0,0,0,0,0,0,23,19
502202,0,0,0,0,0,0,0,0,0,0,70,0
502624,0,0,0,0,0,0,0,0,0,0,2,7
502671,128,0,0,0,0,23,0,0,0,0,0,0
503285,0,0,0,0,0,0,0,0,0,0,28,0
